--  This is WORDS 1.97 dictionary - The order is not exactly alphabetic
A: INTERJ             \Ah!; (distress/regret/pity, appeal/entreaty, surprise/joy, objection/contempt);
PERDO, PERDERE, PERDIDI, PERDITUS: V      3 1         \ruin, destroy; lose; waste;
PERDECORUS, PERDECORA, PERDECORUM: ADJ    1 1 POS     \very comely;
PERDELIRUS, PERDELIRA, PERDELIRUM: ADJ    1 1 POS     \senseless;
PERDEPSO, PERDEPSERE, PERDEPSUI, PERDEPSTUS: V      3 1         \dishonor; have improper sex; (rude);
PERDIGNUS, PERDIGNA, PERDIGNUM: ADJ    1 1 POS     \very worthy;
PERDISCO, PERDISCERE, PERDIDICI, -: V      3 1         \learn thoroughly;
PERDITUS, PERDITA, PERDITUM: ADJ    1 1 POS     \ruined; degenerate; reckless; helpless;
PERDITIM: ADV    POS         \desperately, to desperation;
PERDITIO, PERDITIONIS: N      3 1 F       \destruction, ruin, perdition;
PERDITOR, PERDITORIS: N      3 1 M       \destroyer; one who ruins/destroys;
PERDITRIX, PERDITRICIS: N      3 1 F       \destroyer (female); she who ruins/destroys;
PERDIU: ADV    POS         \for a long while;
PERDIUTURNUS, PERDIUTURNA, PERDIUTURNUM: ADJ    1 1 POS     \lasting a very long time;
PERDIX, PERDICIS: N      3 1 C       \partridge;
PERDOCO, PERDOCERE, PERDOCUI, PERDOCTUS: V      3 1         \teach (thoroughly);
PERDOMO, PERDOMARE, PERDOMUI, PERDOMITUS: V      1 1         \tame thoroughly, subjugate completely;
PERDUCO, PERDUCERE, PERDUXI, PERDUCTUS: V      3 1         \lead, guide; prolong; induce, conduct, bring through;
PERDUDUM: ADV    POS         \long time ago;
PERDUELL, PERDUELLIS: N      3 3 M       \national enemy;
PERDUELLIO, PERDUELLIONIS: N      3 1 F       \treason;
PERDURO, PERDURARE, PERDURAVI, PERDURATUS: V      1 1         \to last long, endure;
PEREO, PERIRE, PERIVI(II), PERITUS: V      6 1         \die, pass away; be ruined, be destroyed; go to waste;
PEREDO, PEREDERE, PEREDI, PERESUS: V      3 1         \eat up, consume, waste;
PEREDO, PERESSE, -, -: V      7 3         \eat up, consume, waste;
PEREGRE: ADV    POS         \to or from abroad;
PEREGRINUS, PEREGRINA, PEREGRINUM: ADJ    1 1 POS     \foreign, strange, alien; exotic;
PEREGRINUS, PEREGRINI: N      2 1 C       \foreigner, stranger, alien; foreign woman (F); foreign residents (pl.);
PEREGRINOR, PEREGRINARI, -, PEREGRINATUS SUM: V      1 1         \travel about, be an alien, sojourn in strange country, go abroad, wander, roam;
PEREGRINABUNDUS, PEREGRINABUNDA, PEREGRINABUNDUM: ADJ    1 1 POS     \travelling about;
PEREGRINANS, PEREGRINANTIS: N      3 3 M       \pilgrim; (foreign) traveler; wanderer;
PEREGRINATIO, PEREGRINATIONIS: N      3 1 F       \living abroad, sojourn abroad; traveling, travel; (exile?);
PEREMNIUM, PEREMNII: N      2 2 N       \auspices taken on crossing any running water;
PERENDIE: ADV    POS         \day after tomorrow;
PERENDINUS, PERENDINA, PERENDINUM: ADJ    1 1 POS     \after tomorrow; (perendino die => the day after tomorrow);
PERENNIS, PERENNIS, PERENNE: ADJ    3 2 POS     \continual; everlasting, perpetual, perennial; eternal;
PERENNO, PERENNARE, PERENNAVI, PERENNATUS: V      1 1         \to last many years;
PEREQUITO, PEREQUITARE, PEREQUITAVI, PEREQUITATUS: V      1 1         \ride through; ride around;
PERERRO, PERERRARE, PERERRAVI, PERERRATUS: V      1 1         \wander through, roam or ramble over;
PERERUDITUS, PERERUDITA, PERERUDITUM: ADJ    1 1 POS     \very learned;
PEREXIGUUS, PEREXIGUA, PEREXIGUUM: ADJ    1 1 POS     \very small;
PERFACETUS, PERFACETA, PERFACETUM: ADJ    1 1 POS     \very witty, brilliant>;  adv. perfacete.
PERFACILIS, PERFACILIS, PERFACILE: ADJ    3 2 POS     \very easy, very courteous;
PERFACILE: ADV    POS         \very easily; readily;
PERFECTUS, PERFECTA, PERFECTUM: ADJ    1 1 POS     \perfect, complete; excellent;
PERFECTIO, PERFECTIONIS: N      3 1 F       \perfection, completion; bringing to completion/perfection; ideal/completed form;
PERFERO, PERFERRE, PERTULI, PERLATUS: V      3 2         \carry through; bear, endure to the end, suffer; announce;
PERFICIO, PERFICERE, PERFECI, PERFECTUS: V      3 1         \complete, finish; execute; bring about, accomplish; do thoroughly;
PERFIDUS, PERFIDA, PERFIDUM: ADJ    1 1 POS     \faithless, treacherous, false, deceitful;
PERFIDIA, PERFIDIAE: N      1 1 F       \faithlessness, treachery, perfidy;
PERFIDIOSUS, PERFIDIOSA, PERFIDIOSUM: ADJ    1 1 POS     \treacherous;
PERFLO, PERFLARE, PERFLAVI, PERFLATUS: V      1 1         \blow through or over;
PERFLAGITIOSUS, PERFLAGITIOSA, PERFLAGITIOSUM: ADJ    1 1 POS     \very shameful;
PERFLUO, PERFLUERE, PERFLUXI, PERFLUXUS: V      3 1         \flow/run through; flow on/along; stream (with moisture); flow (drapery);
PERFODIO, PERFODERE, PERFODI, PERFOSSUS: V      3 1         \bore/dig/make hole/passage/channel/break in/through; dig/pierce/stab/perforate;
PERFODIO, PERFODIRE, PERFODIVI, PERFODITUS: V      3 4         \bore/dig/make hole/passage/channel/break in/through; dig/pierce/stab/perforate;
PERFORO, PERFORARE, PERFORAVI, PERFORATUS: V      1 1         \bore/pierce/make a hole/passage/break in/through; bore/pierce/stab/perforate;
PERFRIGESCO, PERFRIGESCERE, PERFRIXI, -: V      3 1         \catch cold;
PERFRIGIDUS, PERFRIGIDA, PERFRIGIDUM: ADJ    1 1 POS     \very cold;
PERFRINGO, PERFRINGERE, PERFRENGI, PERFRACTUS: V      3 1         \break through;
PERFRUOR, PERFRUI, -, PERFRUCTUS SUM: V      3 1         \have full enjoyment of, enjoy;
PERFUGA, PERFUGAE: N      1 1 M       \deserter;
PERFUGIO, PERFUGERE, PERFUGI, -: V      3 1         \flee, desert; take refuge;
PERFUGIUM, PERFUGI(I): N      2 4 N       \refuge; asylum; excuse;
PERFUNDO, PERFUNDERE, PERFUDI, PERFUSUS: V      3 1         \pour over/through, wet, flood, bathe; overspread, coat, overlay; imbue;
PERFUNGOR, PERFUNGI, -, PERFUNCTUS SUM: V      3 1         \perform, discharge, have done with (w/ABL);
PERFURO, PERFURERE, -, -: V      3 1         \rage, storm (throughout);
PERGO, PERGERE, PERREXI, PERRECTUS: V      3 1         \go on, proceed;
PERGRANDIS, PERGRANDIS, PERGRANDE: ADJ    3 2 POS     \very large, huge; of very advanced age;
PERGRATUS, PERGRATA, PERGRATUM: ADJ    1 1 POS     \very agreeable or pleasant;
PERGULA, PERGULAE: N      1 1 F       \attachment to front of building for trading, booth/stall/shop; painting studio;
PERGULA, PERGULAE: N      1 1 F       \|framework supporting a vine/plant; hut, hovel; school; lecture room; brothel;
PERHIBEO, PERHIBERE, PERHIBUI, PERHIBITUS: V      2 1         \present, give, bestow; regard, hold; name;
PERHILUM, PERHILI: N      2 2 N       \very little;
PERHONORIFICUS, PERHONORIFICA, PERHONORIFICUM: ADJ    1 1 POS     \very honorable, very respectful;
PERHONORIFICE: ADV    POS         \very honorablly, very respectfully;
PERHORRESCO, PERHORRESCERE, PERHORRUI, -: V      3 1         \tremble or shudder greatly; recoil in terror from;
PERHORRIDUS, PERHORRIDA, PERHORRIDUM: ADJ    1 1 POS     \very dreadful;
PERHUMANUS, PERHUMANA, PERHUMANUM: ADJ    1 1 POS     \very friendly, very civil;
PERHUMANITER: ADV    POS         \very civilly;
PERIBOLUS, PERIBOLI: N      2 1 M       \circuit; enclosure; precinct (Souter); outer wall (Vulgate Ezechiel 42:7);
PERICLUM, PERICLI: N      2 2 N       \danger, peril; trial, attempt; risk; responsibility for damage, liability;
PERICLITOR, PERICLITARI, -, PERICLITATUS SUM: V      1 1         \try, prove, test, make a trial of, put to the test/in peril; risk, endanger;
PERICULUM, PERICULI: N      2 2 N       \danger, peril; trial, attempt; risk; responsibility for damage, liability;
PERICULOSUS, PERICULOSA -UM, PERICULOSIOR -OR -US, PERICULOSISSIMUS -A -UM: ADJ    1 1 X       \dangerous, hazardous, perilous; threatening;
PERIDONEUS, PERIDONEA, PERIDONEUM: ADJ    1 1 POS     \very suitable, very well-fitted;
PERIMO, PERIMERE, PEREMI, PEREMPTUS: V      3 1         \kill, destroy;
PERIMBECILLUS, PERIMBECILLA, PERIMBECILLUM: ADJ    1 1 POS     \very weak;
PERINCOMMODUS, PERINCOMMODA, PERINCOMMODUM: ADJ    1 1 POS     \very inconvenient;
PERINCOMMODE: ADV    POS         \very inconveniently;
PERINDE: ADV    POS         \in the same way/just as, equally; likewise (~ ac => just as if);
PERINFIRMUS, PERINFIRMA, PERINFIRMUM: ADJ    1 1 POS     \very weak;
PERINGENIOSUS, PERINGENIOSA, PERINGENIOSUM: ADJ    1 1 POS     \very clever;
PERINIQUUS, PERINIQUA, PERINIQUUM: ADJ    1 1 POS     \very unfair; very discontented or unwilling;
PERINVITUS, PERINVITA, PERINVITUM: ADJ    1 1 POS     \very unwilling;
PERIODUS, PERIODI: N      2 1 M       \sentence, period;
PERIPATETICUS, PERIPATETICA, PERIPATETICUM: ADJ    1 1 POS     \of/belonging to the Peripatetic (Aristotelian) school of philosphy;
PERIPATETICUS, PERIPATETICI: N      2 1 M       \philosopher of the Peripatetic (Aristotelian) school;
PERIPETASMA, PERIPETASMATIS: N      3 2 N       \curtain, hanging;
PERIPSEMA, PERIPSEMATIS: N      3 2 N       \refuse; filth; offscouring; (that which comes off in cleaning);
PERIPSIMA, PERIPSIMATIS: N      3 2 N       \refuse; filth; offscouring; (that which comes off in cleaning);
PERIPTEROS, PERIPTEROS, -: ADJ    2 6 POS     \having a single row of columns all around;
-, -, PERIPTERON: ADJ    2 8 POS     \having a single row of columns all around;
PERIRATUS, PERIRATA, PERIRATUM: ADJ    1 1 POS     \very angry;
PERISCELIS, PERISCELIDOS/IS: N      3 7 F       \garter, anklet, leg-band;
PERISTEREOS, PERISTEREI: N      2 6 M       \plant doves are fond of, a verbena(?);
PERISTERON, PERISTERONOS/IS: N      3 7 M       \enclosure for pigeons, pigeon coop;
PERISTEROTROPHION, PERISTEROTROPHII: N      2 8 N       \enclosure for pigeons, pigeon coop;
PERISTROMA, PERISTROMATIS: N      3 2 N       \curtain, coverlet, carpet, hanging;
PERISTYLUM, PERISTYLI: N      2 2 N       \inner courtyard lined with rows of columns, peristyle;
PERISTYLON, PERISTYLI: N      2 8 N       \inner courtyard lined with rows of columns, peristyle;
PERISTYLIUM, PERISTYLII: N      2 2 N       \inner courtyard lined with rows of columns, peristyle;
PERITUS, PERITA, PERITUM: ADJ    1 1 POS     \skilled, skillful; experienced, expert; with gen;
PERITIA, PERITIAE: N      1 1 F       \practical knowledge, skill, expertise;
PERIURIUM, PERIURI(I): N      2 4 N       \false oath, perjury;
PERIZOMA, PERIZOMATIS: N      3 2 N       \girdle;
PERJUCUNDUS, PERJUCUNDA, PERJUCUNDUM: ADJ    1 1 POS     \very welcome, agreeable;
PERJURUS, PERJURA, PERJURUM: ADJ    1 1 POS     \perjured; false, lying;
PERJURO, PERJURARE, PERJURAVI, PERJURATUS: V      1 1         \swear falsely;
PERLABOR, PERLABI, -, PERLAPSUS SUM: V      3 1         \glide along, over or through, skim;
PERLAETUS, PERLAETA, PERLAETUM: ADJ    1 1 POS     \very joyful;
PERLEGO, PERLEGERE, PERLEGI, PERLECTUS: V      3 1         \read through;
PERLICIO, PERLICERE, PERLEXI, PERLECTUS: V      3 1         \attract/draw away; allure/seduce/entice/captivate; coax/induce/wheedle/win over;
PERLICIO, PERLICERE, PERLICUI, PERLECTUS: V      3 1         \attract/draw away; allure/seduce/entice/captivate; coax/induce/wheedle/win over;
PERLITO, PERLITARE, PERLITAVI, PERLITATUS: V      1 1         \make auspicious sacrifice;
PERLONGUS, PERLONGA, PERLONGUM: ADJ    1 1 POS     \very long, tedious;
PERLONGE: ADV    POS         \very far; tediously;
PERLUO, PERLUERE, PERLUI, PERLUTUS: V      3 1         \wash off or thoroughly, bathe;
PERLUCEEO, PERLUCEERE, -, -: V      2 1         \be transparent; shine through; shine out;
PERLUCIDUS, PERLUCIDA, PERLUCIDUM: ADJ    1 1 POS     \transparent, pellucid;
PERLUCIDULUS, PERLUCIDULA, PERLUCIDULUM: ADJ    1 1 POS     \transparent;
PERLUCTUOSUS, PERLUCTUOSA, PERLUCTUOSUM: ADJ    1 1 POS     \very mournful;
PERLUSTRO, PERLUSTRARE, PERLUSTRAVI, PERLUSTRATUS: V      1 1         \go or wander all through; view all over, scan, scrutinize;
PERMAGNUS, PERMAGNA, PERMAGNUM: ADJ    1 1 POS     \very great;
PERMANO, PERMANARE, PERMANAVI, PERMANATUS: V      1 1         \flow through; leak through; permeate;
PERMANEO, PERMANERE, PERMANSI, PERMANSUS: V      2 1         \last, continue; remain; endure;
PERMARINUS, PERMARINA, PERMARINUM: ADJ    1 1 POS     \going over the sea;
PERMATURESCO, PERMATURESCERE, -, -: V      3 1         \mature, ripen thoroughly;
PERMEO, PERMEARE, PERMEAVI, PERMEATUS: V      1 1         \go or pass through, cross, traverse; pervade;
PERMETIOR, PERMETIRI, -, PERMENSUS SUM: V      3 4         \measure (exactly); traverse/travel over; pass through; complete (time/process);
PERMIRUS, PERMIRA, PERMIRUM: ADJ    1 1 POS     \very wonderful;
PERMISCEO, PERMISCERE, PERMISCUI, PERMIXTUS: V      2 1         \mix or mingle together; confound; embroil; disturb thoroughly;
PERMISSUS, PERMISSUS: N      4 1 M       \permission, authorization;
PERMITIES, PERMITIEI: N      5 1 F       \destruction, annihilation;
PERMITIALIS, PERMITIALIS, PERMITIALE: ADJ    3 2 POS     \destructive, annihilating;
PERMITTO, PERMITTERE, PERMISI, PERMISSUS: V      3 1         \let through; let go through; relinquish; permit, allow; entrust; hurl;
PERMODESTUS, PERMODESTA, PERMODESTUM: ADJ    1 1 POS     \very modest, very moderate;
PERMOLESTUS, PERMOLESTA, PERMOLESTUM: ADJ    1 1 POS     \very troublesome;
PERMOLESTE: ADV    POS         \with much difficulty;
PERMOVEO, PERMOVERE, PERMOVI, PERMOTUS: V      2 1         \stir up; move deeply; influence; agitate;
PERMULCEO, PERMULCERE, PERMULSI, PERMULSUS: V      2 1         \rub gently, stroke, touch gently; charm, please, beguile; soothe, alleviate;
PERMULTUS, PERMULTA, PERMULTUM: ADJ    1 1 POS     \very much; very many (pl.);
PERMUNIO, PERMUNIRE, PERMUNIVI, PERMUNITUS: V      3 4         \fortify thoroughly, make very secure; finish constructing fortifications;
PERMUTO, PERMUTARE, PERMUTAVI, PERMUTATUS: V      1 1         \exchange (for); swap;
PERMUTATIO, PERMUTATIONIS: N      3 1 F       \change, exchange;
PERNA, PERNAE: N      1 1 F       \ham;
PERNECESSARIUS, PERNECESSARIA, PERNECESSARIUM: ADJ    1 1 POS     \very necessary; very intimate;
PERNICIES, PERNICIEI: N      5 1 F       \ruin; disaster; pest, bane; curse; destruction, calamity; mischief;
PERNICIOSUS, PERNICIOSA, PERNICIOSUM: ADJ    1 1 POS     \destructive, dangerous, pernicious;
PERNICITAS, PERNICITATIS: N      3 1 F       \speed, agility;
PERNIX, (GEN.), PERNICIS: ADJ    3 1 POS     \persistent, preserving; nimble, brisk, active, agile, quick, swift, fleet;
PERNOCTO, PERNOCTARE, PERNOCTAVI, PERNOCTATUS: V      1 1         \spend the night;
PERNOSCO, PERNOSCERE, PERNOVI, PERNOTUS: V      3 1         \get a thorough knowledge of;
PERNOX, (GEN.), PERNOCTIS: ADJ    3 1 POS     \lasting all night;
PERO, PERONIS: N      3 1 M       \thick boot of raw hide;
PEROBSCURUS, PEROBSCURA, PEROBSCURUM: ADJ    1 1 POS     \very obscure, very vague;
PERODIOSUS, PERODIOSA, PERODIOSUM: ADJ    1 1 POS     \very troublesome;
PERONATUS, PERONATA, PERONATUM: ADJ    1 1 POS     \wearing leather boots;
PEROPPORTUNUS, PEROPPORTUNA, PEROPPORTUNUM: ADJ    1 1 POS     \very favorably situated, very convenient;
PEROPTATO: ADV    POS         \just as one would wish;
PERORO, PERORARE, PERORAVI, PERORATUS: V      1 1         \deliver the final part of a speech, conclude;
PERORNATUS, PERORNATA, PERORNATUM: ADJ    1 1 POS     \very ornate;
PERPACO, PERPACARE, PERPACAVI, PERPACATUS: V      1 1         \subdue completely;
PERPARVUS, PERPARVA, PERPARVUM: ADJ    1 1 POS     \very little, very trifling;
PERPARVULUS, PERPARVULA, PERPARVULUM: ADJ    1 1 POS     \very little;
PERPAUCUS, PERPAUCA, PERPAUCUM: ADJ    1 1 POS     \very few (pl.); select;
PERPAUCUM, PERPAUCI: N      2 2 N       \very few (pl.), very little;
PERPAUCULUS, PERPAUCULA, PERPAUCULUM: ADJ    1 1 POS     \very few (pl.);
PERPAULUM, PERPAULI: N      2 2 N       \very little;
PERPAULLUM, PERPAULLI: N      2 2 N       \very little;
PERPELLO, PERPELLERE, PERPULI, PERPULSUS: V      3 1         \compel, constrain, prevail upon; enforce;
PERPENDO, PERPENDERE, PERPENDI, PERPENSUS: V      3 1         \weigh carefully; assess carefully;
PERPENDICULUM, PERPENDICULI: N      2 2 N       \plummet; plumbline; (ad perpendiculum => perpendicularly);
PERPERAM: ADV    POS         \wrongly, incorrectly;
PERPES, (GEN.), PERPETIS: ADJ    3 1 POS     \continuous, lasting, unbroken in time, perpetual, neverending; whole period;
PERPETIOR, PERPETI, -, PERPESSUS SUM: V      3 1         \endure to the full;
PERPETRO, PERPETRARE, PERPETRAVI, PERPETRATUS: V      1 1         \carry through, accomplish;
PERPETUUS, PERPETUA, PERPETUUM: ADJ    1 1 POS     \continuous, uninterpreted; whole; perpetual, lasting; everlasting;
PERPETUITAS, PERPETUITATIS: N      3 1 F       \continuity; permanence;
PERPETUO: ADV    POS         \without interruption; constantly; forever; continually; perpetual;
PERPLEXUS, PERPLEXA, PERPLEXUM: ADJ    1 1 POS     \entangled, muddled; intricate, cryptic;
PERPLEXOR, PERPLEXARI, -, PERPLEXATUS SUM: V      1 1         \to perplex;
PERPLICATUS, PERPLICATA, PERPLICATUM: ADJ    1 1 POS     \entangled, involved;
PERPOLIO, PERPOLIRE, PERPOLIVI, PERPOLITUS: V      3 4         \polish thoroughly; put the finishing touches to;
PERPOPULOR, PERPOPULARI, -, PERPOPULATUS SUM: V      1 1         \ravage, devastate completely;
PERPOTO, PERPOTARE, PERPOTAVI, PERPOTATUS: V      1 1         \drink heavily; drink up;
PERPRIMO, PERPRIMERE, PERPRESSI, PERPRESSUS: V      3 1         \to press hard;
PERPROPINQUUS, PERPROPINQUA, PERPROPINQUUM: ADJ    1 1 POS     \very near;
PERPROPINQUUS, PERPROPINQUI: N      2 1 M       \relative;
PERPUSILLUS, PERPUSILLA, PERPUSILLUM: ADJ    1 1 POS     \very small;
PERQUAM: ADV    POS         \extremely;
PERQUIRO, PERQUIRERE, PERQUISIVI, PERQUISITUS: V      3 1         \search everywhere for;
PERRARUS, PERRARA, PERRARUM: ADJ    1 1 POS     \very rare, exceptional;
PERRECONDITUS, PERRECONDITA, PERRECONDITUM: ADJ    1 1 POS     \very abstruse;
PERREPTO, PERREPTARE, PERREPTAVI, PERREPTATUS: V      1 1         \to crawl through, crawl about;
PERRIDICULUS, PERRIDICULA, PERRIDICULUM: ADJ    1 1 POS     \very laughable;
PERRIDICULE: ADV    POS         \very laughably;
PERRUMPO, PERRUMPERE, PERRUPI, PERRUPTUS: V      3 1         \break through;
PERSA, PERSAE: N      1 1 M       \Persian, native of Persia; (sometimes for Parthian: Persian breed os dog;
PERSES, PERSAE: N      1 7 M       \Persian, native of Persia; (sometimes for Parthian: Persian breed os dog;
PERSAEPE: ADV    POS         \very often;
PERSALSUS, PERSALSA, PERSALSUM: ADJ    1 1 POS     \very witty;
PERSALSE: ADV    POS         \very witty;
PERSALUTATIO, PERSALUTATIONIS: N      3 1 F       \general greeting;
PERSCIENTER: ADV    POS         \very discreetly;
PERSCITUS, PERSCITA, PERSCITUM: ADJ    1 1 POS     \very clever;
PERSCRIBO, PERSCRIBERE, PERSCRIPSI, PERSCRIPTUS: V      3 1         \report; write out in full; finish writing, write a detailed record;
PERSCRUTOR, PERSCRUTARI, -, PERSCRUTATUS SUM: V      1 1         \search/look though; search high and low; study/investigate carefully;
PERSECTOR, PERSECTARI, -, PERSECTATUS SUM: V      1 1         \pursue/follow closely/eagerly; follow up; investigate (a question);
PERSECUTIO, PERSECUTIONIS: N      3 1 F       \chase/pursuit; carrying through, completion; action/right of suing, suit;
PERSECUTIO, PERSECUTIONIS: N      3 1 F       \|persecution (esp. of Christians); suffering (Bee);
PERSECUTOR, PERSECUTORIS: N      3 1 M       \persecutor; (of Christians); prosecutor, plaintiff;
PERSENTISCO, PERSENTISCERE, -, -: V      3 1         \to begin to perceive distinctly or feel deeply;
PERSEQUOR, PERSEQUI, -, PERSECUTUS SUM: V      3 1         \follow up, pursue; overtake; attack; take vengeance on; accomplish;
PERSEVERUS, PERSEVERA, PERSEVERUM: ADJ    1 1 POS     \very strict;
PERSEVERO, PERSEVERARE, PERSEVERAVI, PERSEVERATUS: V      1 1         \persist, persevere; continue;
PERSEVERANSUS, PERSEVERANTA -UM, PERSEVERANTIOR -OR -US, PERSEVERANTISSIMUS -A -U: ADJ    1 1 X       \steadfast, persistent, untiring; continually maintained, persistent (activity);
PERSEVERANTER, PERSEVERANTIUS, PERSEVERANTISSIME: ADV    X           \steadfastly, persistently; with continued action;
PERSEVERANTIA, PERSEVERANTIAE: N      1 1 F       \steadfastness; persistence (affliction); continued existence;
: ADJ    3 6 POS     \Persian;
PERSOLVO, PERSOLVERE, PERSOLVI, PERSOLUTUS: V      3 1         \pay;
PERSONA, PERSONAE: N      1 1 F       \mask; character; personality;
PERSONO, PERSONARE, PERSONAVI, PERSONATUS: V      1 1         \make loud/continuous/pervasive noise/loud music; ring/resound; chant/shout out;
PERSONO, PERSONARE, PERSONUI, PERSONITUS: V      1 1         \make loud/continuous/pervasive noise/loud music; ring/resound; chant/shout out;
PERSONALIS, PERSONALIS, PERSONALE: ADJ    3 2 POS     \personal; of/relating to an individual;
PERSONATUS, PERSONATA, PERSONATUM: ADJ    1 1 POS     \masked;
PERSPERGO, PERSPERGERE, -, -: V      3 1         \to sprinkle, moisten;
PERSPICACE: ADV    POS         \watchfully; observantly;
PERSPICAX, PERSPICACIS (GEN.), PERSPICACIOR -OR -US, PERSPICACISSIMUS -A -UM: ADJ    3 1 X       \observant, attentive to what is going on; having keen/penetrating sight/vision;
PERSPICIO, PERSPICERE, PERSPEXI, PERSPECTUS: V      3 1         \see through; examine; observe;
PERSPICIBILIS, PERSPICIBILIS, PERSPICIBILE: ADJ    3 2 POS     \clearly visible;
PERSPICUUS, PERSPICUA, PERSPICUUM: ADJ    1 1 POS     \transparent, clear; evident;
PERSPICUE: ADV    POS         \clearly, evidently;
PERSTO, PERSTARE, PERSTITI, PERSTATUS: V      1 1         \stand firm; last, endure; persevere, persist in;
PERSTRINGO, PERSTRINGERE, PERSTRINXI, PERSTRICTUS: V      3 1         \graze, graze against; make tight all over; offend, make unfavorable mention;
PERSTUDIOSUS, PERSTUDIOSA, PERSTUDIOSUM: ADJ    1 1 POS     \very eager;
PERSTUDIOSE: ADV    POS         \very eagerly;
PERSUADEO, PERSUADERE, PERSUASI, PERSUASUS: V      2 1         \persuade, convince (with dat.);
PERSUASIBILIS, PERSUASIBILIS, PERSUASIBILE: ADJ    3 2 POS     \persuasive, convincing;
PERSUASIBILITER: ADV    POS         \persuasively, convincingly;
PERSULTO, PERSULTARE, PERSULTAVI, PERSULTATUS: V      1 1         \leap or skip or prance about, range (over), scour;
PERTAEDET, PERTAEDERE, PERTAEDIT: V      2 1         \it wearies; it disgusts; it bores;
PERTEMPTO, PERTEMPTARE, PERTEMPTAVI, PERTEMPTATUS: V      1 1         \test, try out; explore thoroughly; agitate thoroughly;
PERTENDO, PERTENDERE, PERTENDI, PERTENSUS: V      3 1         \persevere, persist; press on;
PERTENTO, PERTENTARE, PERTENTAVI, PERTENTATUS: V      1 1         \test, try out; explore thoroughly; agitate thoroughly;
PERTERREO, PERTERRERE, PERTERRUI, PERTERRITUS: V      2 1         \frighten greatly, terrify;
PERTERREFACIO, PERTERREFACERE, PERTERREFECI, PERTERREFACTUS: V      3 1         \make extremely frightened; terrify thoroughly;
PERTERREFACTUS, PERTERREFACTA, PERTERREFACTUM: ADJ    1 1 POS     \terribly/extremely frightened, thoroughly terrified;;
PERTERRICREPUS, PERTERRICREPA, PERTERRICREPUM: ADJ    1 1 POS     \making/characterized by terrifying crashing/clattering sound; rattling terribly;
PERTERRITUS, PERTERRITA, PERTERRITUM: ADJ    1 1 POS     \very frightened, thoroughly frightened; completely terrified;
PERTERRITO, PERTERRITARE, PERTERRITAVI, PERTERRITATUS: V      1 1         \frighten throughly/greatly, terrify;
PERTICA, PERTICAE: N      1 1 F       \pole, long staff; measuring rod; perch;
PERTIMESCO, PERTIMESCERE, PERTIMUI, -: V      3 1         \become very scared (of );
PERTINEO, PERTINERE, PERTINUI, PERTENTUS: V      2 1         \reach; extend; relate to; concerns, pertain to;
PERTINACIA, PERTINACIAE: N      1 1 F       \determination/perseverance; persistence; obstinacy, stubbornness, defiance;
PERTINACITER: ADV    POS         \tenaciously; obstinately, stubbornly, determinedly; through thick and thin;
PERTINAX, (GEN.), PERTINACIS: ADJ    3 1 POS     \persevering, obstinate; pertinacious;
PERTINGO, PERTINGERE, -, -: V      3 1         \reach, get as far as; extend (in a direction); concern, affect;
PERTITUS, PERTITA, PERTITUM: ADJ    1 1 POS     \divided in X parts (only with numerical prefix), divisable by X, X-fold;
PERTITO: ADV    POS         \in X divisions (only with numerical prefix), in X parts/catagories;
PERTRACTATIO, PERTRACTATIONIS: N      3 1 F       \thorough handling, detailed treatment;
PERTRAHO, PERTRAHERE, PERTRAXI, PERTRACTUS: V      3 1         \draw or drag through or to, bring or conduct forcibly to; draw on, lure;
PERTRANSEO, PERTRANSIRE, PERTRANSIVI(II), PERTRANSITUS: V      6 1         \pass right through; go/pass by (L+S); pass away; cross (Bee);
PERTRICOSUS, PERTRICOSA, PERTRICOSUM: ADJ    1 1 POS     \very confused; very strange; completely taken up with trifles;
PERTUNDO, PERTUNDERE, PERTUDI, PERTUSUS: V      3 1         \bore through, perforate;
PERTURBO, PERTURBARE, PERTURBAVI, PERTURBATUS: V      1 1         \confuse, throw into confusion; disturb, perturb, trouble; alarm;
PERTURBATIO, PERTURBATIONIS: N      3 1 F       \disturbance; commotion;
PERURO, PERURERE, PERUSSI, PERUSUS: V      3 1         \burn up; fire; scorch; make sore;
PERURBANUS, PERURBANA, PERURBANUM: ADJ    1 1 POS     \very polite or witty; oversophisticated;
PERVADO, PERVADERE, PERVASI, PERVASUS: V      3 1         \go or come through; spread through; penetrate; pervade;
PERVAGUS, PERVAGA, PERVAGUM: ADJ    1 1 POS     \wandering everywhere;
PERVAGOR, PERVAGARI, -, PERVAGATUS SUM: V      1 1         \wander or range through, rove about; pervade, spread widely; extend;
PERVASTO, PERVASTARE, PERVASTAVI, PERVASTATUS: V      1 1         \devastate completely;
PERVEHO, PERVEHERE, PERVEXI, PERVECTUS: V      3 1         \bear, carry or convey through; pervehi, pass  to sail to, ride to;
PERVENIO, PERVENIRE, PERVENI, PERVENTUS: V      3 4         \come to; reach; arrive;
PERVERSUS, PERVERSA, PERVERSUM: ADJ    1 1 POS     \askew, awry; perverse, evil, bad;
PERVERTO, PERVERTERE, PERVERTI, PERVERSUS: V      3 1         \overthrow; subvert; destroy, ruin, corrupt;
PERVESPERI: ADV    POS         \very late in the evening;
