--  This is WORDS 1.97 dictionary - The order is not exactly alphabetic
A: INTERJ             \Ah!; (distress/regret/pity, appeal/entreaty, surprise/joy, objection/contempt);
ABHORREO, ABHORRERE, ABHORRUI, -: V      2 1         \abhor, shrink back; be averse to, shudder at; differ from; be inconsistent;
ABHORRESCO, ABHORRESCERE, ABHORRUI, -: V      3 1         \dread, become terrified; bristle up; begin to shake/tremble/shudder/shiver;
ABHORRIDUS, ABHORRIDA, ABHORRIDUM: ADJ    1 1 POS     \rough, unsightly;
ABHORRIDE: ADV    POS         \roughly, improperly; in an unfit manner;
ABICO, ABICERE, -, -: V      3 1         \humble; cast aside/away/off, reject;
ABICIO, ABICERE, ABJECI, ABJECTUS: V      3 1         \throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;
ABIEGNUS, ABIEGNA, ABIEGNUM: ADJ    1 1 POS     \made of fir, deal; wooden;
ABIEGNEUS, ABIEGNEA, ABIEGNEUM: ADJ    1 1 POS     \made of fir, deal;
ABIEGNIUS, ABIEGNIA, ABIEGNIUM: ADJ    1 1 POS     \made of fir, deal;
ABIES, ABIETIS: N      3 1 F       \fir tree/wood; white/silver fir, spruce; thing of fir, ship, spear; sea weed;
ABIETARIUS, ABIETARIA, ABIETARIUM: ADJ    1 1 POS     \of/pertaining to/concerned with timber or fir/deal;
ABIETARIUS, ABIETARII: N      2 1 M       \timber merchant; carpenter, joiner;
ABIGA, ABIGAE: N      1 1 F       \plant which has the power of producing abortion;
ABIGO, ABIGERE, ABEGI, ABACTUS: V      3 1         \drive/send away/off; expel, repel; steal, plunder (cattle), rustle; seduce;
ABIGO, ABIGERE, ABEGI, ABACTUS: V      3 1         \|remove/cure (a disease); drive away (an evil); force birth; procure abortion;
ABIGO, ABIGERE, ABIGI, ABACTUS: V      3 1         \drive/send away/off; expel, repel; steal, plunder (cattle), rustle; seduce;
ABIGO, ABIGERE, ABIGI, ABACTUS: V      3 1         \|remove/cure (a disease); drive away (an evil); force birth; procure abortion;
ABIGEUS, ABIGEI: N      2 1 M       \cattle stealer/thief, rustler;
ABIGEATUS, ABIGEATUS: N      4 1 M       \cattle stealing, rustling;
ABIGEATOR, ABIGEATORIS: N      3 1 M       \cattle stealer/thief, rustler;
ABINDE: ADV    POS         \from that source, thence;
ABITUS, ABITUS: N      4 1 M       \departure, removal; going away; way out, exit, outlet, passage out, egress;
ABITO, ABITARE, ABITAVI, ABITATUS: V      1 1         \go away, depart;
ABITIO, ABITIONIS: N      3 1 F       \departure; going away, departing;
ABJECTO, ABJECTARE, ABJECTAVI, ABJECTATUS: V      1 1         \throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;
ABJECTUS, ABJECTA -UM, ABJECTIOR -OR -US, ABJECTISSIMUS -A -UM: ADJ    1 1 X       \downcast, dejected; humble, low, common, mean; subservient; base, sordid, vile;
ABJECTE, ABJECTIUS, ABJECTISSIME: ADV    X           \in spiritless manner; in humble circumstances, lowly; negligently; cowardly;
ABJECTIO, ABJECTIONIS: N      3 1 F       \dejection; a casting down/out; outcast;
ABJICIO, ABJICERE, ABJECI, ABJECTUS: V      3 1         \throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;
ABJUDICO, ABJUDICARE, ABJUDICAVI, ABJUDICATUS: V      1 1         \deprive by judicial verdict; give judgment against; reject; deny an oath;
ABJUDICATIVUS, ABJUDICATIVA, ABJUDICATIVUM: ADJ    1 1 POS     \negative;
ABJUGO, ABJUGARE, ABJUGAVI, ABJUGATUS: V      1 1         \separate (from), remove; loose from the yoke;
ABJUNGO, ABJUNGERE, ABJUNXI, ABJUNCTUS: V      3 1         \unyoke, remove, separate; unharness; remove part, split; cut off from, detach;
ABJURO, ABJURARE, ABJURAVI, ABJURATUS: V      1 1         \repudiate (obligation or duty); deny on oath (falsely); abjure; perjure;
ABJURATIO, ABJURATIONIS: N      3 1 F       \abjuration, process where heretics/apostates/schismatics renounce their errors;
ABJURATIO, ABJURATIONIS: N      3 1 F       \|forswearing, denial under oath; perjury;
ABJURGO, ABJURGARE, ABJURGAVI, ABJURGATUS: V      1 1         \take away in settlement of a quarrel; deny/refuse reproachfully (L+S);
ABLACTO, ABLACTARE, ABLACTAVI, ABLACTATUS: V      1 1         \wean;
ABLACTATIO, ABLACTATIONIS: N      3 1 F       \act/process of weaning a child;
ABLACUO, ABLACUARE, ABLACUAVI, ABLACUATUS: V      1 1         \loosen/weed the soil at the roots (of trees);
ABLACUO, ABLACUARE, ABLACUAVI, ABLACUATUS: V      1 1         \loosen/weed the soil at the roots (of trees);
ABLAQUEO, ABLAQUEARE, ABLAQUEAVI, ABLAQUEATUS: V      1 1         \loosen/weed the soil at the roots (of trees);
ABLAQUEATIO, ABLAQUEATIONIS: N      3 1 F       \act/process of loosening/weeding soil at base/roots of a tree;
ABLATIO, ABLATIONIS: N      3 1 F       \removal, taking away;
ABLATIVUS, ABLATIVA, ABLATIVUM: ADJ    1 1 POS     \ablative (gram.);
ABLATIVUS, ABLATIVI: N      2 1 M       \ablative case (w/wo casus) (gram.);
ABLATOR, ABLATORIS: N      3 1 M       \one who takes away/removes;
ABLEGO, ABLEGARE, ABLEGAVI, ABLEGATUS: V      1 1         \send away/off (on a mission); banish, get rid of; remove/delete a word;
ABLEGATIO, ABLEGATIONIS: N      3 1 F       \dispatch, sending away/off; dispatch on a duty;
ABLEPSIA, ABLEPSIAE: N      1 1 F       \blindness;
ABLIGURIO, ABLIGURIRE, ABLIGURIVI, ABLIGURITUS: V      3 4         \eat up (dainties); consume in dainty living; waste, squander; waste in feasting;
ABLIGURRIO, ABLIGURRIRE, ABLIGURRIVI, ABLIGURRITUS: V      3 4         \eat up (dainties); consume in dainty living; waste, squander; waste in feasting;
ABLOCO, ABLOCARE, ABLOCAVI, ABLOCATUS: V      1 1         \place a contract for (work), hire; let/lease/rent (a house);
ABLUO, ABLUERE, ABLUI, ABLUTUS: V      3 1         \wash away/off/out, blot out, purify, wash, cleanse; dispel (infection); quench;
ABLUDO, ABLUDERE, -, -: V      3 1         \differ from; fall short of; play out of tune;
ABLUTIO, ABLUTIONIS: N      3 1 F       \washing, ablution; pouring on (mixture of water and wine) in the liturgy;
ABLUVIUM, ABLUVII: N      2 2 N       \flooding of rivers, inundation;
ABLUVIO, ABLUVIONIS: N      3 1 F       \erosion;
ABMATERTERA, ABMATERTERAE: N      1 1 F       \great-great-great aunt (mother's side);
ABNATO, ABNATARE, ABNATAVI, ABNATATUS: V      1 1         \swim away from; swim off;
ABNEGO, ABNEGARE, ABNEGAVI, ABNEGATUS: V      1 1         \deny; decline (to), refuse, reject; refuse to give, withhold (what is due);
ABNEGATIO, ABNEGATIONIS: N      3 1 F       \denial;
ABNEGATIVUS, ABNEGATIVA, ABNEGATIVUM: ADJ    1 1 POS     \negative;
ABNEGATOR, ABNEGATORIS: N      3 1 M       \denier, one who denies;
ABNEPOS, ABNEPOTIS: N      3 1 M       \great-great-grandson; indefinitely distant descendent;
ABNEPTIS, ABNEPTIS: N      3 3 F       \great-great-granddaughter; indefinitely distant female descendent;
ABNOCTO, ABNOCTARE, ABNOCTAVI, ABNOCTATUS: V      1 1         \spend the night out, stay away all night; spend the night away from Rome;
ABNODO, ABNODARE, ABNODAVI, ABNODATUS: V      1 1         \cut off knots; clear trees of knots;
ABNORMIS, ABNORMIS, ABNORME: ADJ    3 2 POS     \belonging to no school (of philosophy); deviating from the rule; irregular;
ABNUO, ABNUERE, ABNUI, ABNUITUS: V      3 1         \refuse, decline; deny (guilt); refuse by a sign, shake head; reject; rule out;
ABNUEO, ABNUERE, -, -: V      2 1         \refuse, decline; deny (guilt); refuse by a sign, shake head; reject; rule out;
ABNUITIO, ABNUITIONIS: N      3 1 F       \negation;
ABNUMERO, ABNUMERARE, ABNUMERAVI, ABNUMERATUS: V      1 1         \count up, reckon up;
ABNUTO, ABNUTARE, ABNUTAVI, ABNUTATUS: V      1 1         \deny/refuse/forbid (w/shake of head) repeatedly; forbid;
ABNUTIVUS, ABNUTIVA, ABNUTIVUM: ADJ    1 1 POS     \negative;
ABNUTIVUM, ABNUTIVI: N      2 2 N       \refusal, denying;
ABOLEO, ABOLERE, ABOLEVI, ABOLITUS: V      2 1         \destroy, efface, obliterate; kill; banish, dispel; put end to. abolish, rescind;
ABOLEFACIO, ABOLEFACERE, -, -: V      3 1         \destroy;
ABOLESCO, ABOLESCERE, ABOLEVI, -: V      3 1         \decay gradually, shrivel, wilt; vanish, disappear; die out; fall into disuse;
ABOLITIO, ABOLITIONIS: N      3 1 F       \cancellation, annulment (law); withdrawal (charge), amnesty; obliteration;
ABOLITOR, ABOLITORIS: N      3 1 M       \one who takes away a thing; one who casts a thing into oblivion;
ABOLLA, ABOLLAE: N      1 1 C       \cloak (thick wool, for soldiers/peasants), mantle; wearer of a cloak;
ABOMINO, ABOMINARE, ABOMINAVI, ABOMINATUS: V      1 1         \avert; (seek to) avert (omen/eventuality) (by prayer); loathe, detest, abhor;
ABOMINOR, ABOMINARI, -, ABOMINATUS SUM: V      1 1         \avert; (seek to) avert (omen/eventuality) (by prayer); loathe, detest, abhor;
ABOMINABILIS, ABOMINABILIS, ABOMINABILE: ADJ    3 2 POS     \detestable, hateful, abominable; worthy of destruction;
ABOMINAMENTUM, ABOMINAMENTI: N      2 2 N       \abomination, detestable thing;
ABOMINANDUS, ABOMINANDA, ABOMINANDUM: ADJ    1 1 POS     \ill-omened, of evil omen; detestable, odious; execrable, abominable;
ABOMINANTER: ADV    POS         \abominably, detestably;
ABOMINATUS, ABOMINATA, ABOMINATUM: ADJ    1 1 POS     \abominated/detested; accursed;
ABOMINATIO, ABOMINATIONIS: N      3 1 F       \aversion, detestation, loathing;
ABOMINOSUS, ABOMINOSA, ABOMINOSUM: ADJ    1 1 POS     \full of ill omens, portentous;
ABORIOR, ABORIRI, -, ABORTUS SUM: V      3 4         \pass away, disappear, be lost; miscarry, be aborted; set (sun/planet/star);
ABORIGINEUS, ABORIGINEA, ABORIGINEUM: ADJ    1 1 POS     \aboriginal; (pertaining to) pre-Roman Italy/original founders of a city;
ABORISCO, ABORISCERE, -, -: V      3 1         \pass/fade away, disappear, be lost;
ABORSUS, ABORSA, ABORSUM: ADJ    1 1 POS     \miscarriage; abortion; that which has been brought forth prematurely;
ABORTUM, ABORTI: N      2 2 N       \miscarriage; premature/untimely birth; abortion; dead fetus; getting abortion;
ABORTUS, ABORTUS: N      4 1 M       \miscarriage; premature/untimely birth; abortion; dead fetus; getting abortion;
ABORTO, ABORTARE, ABORTAVI, ABORTATUS: V      1 1         \cast its young (beast) (give birth prematurely);
ABORTIO, ABORTIRE, -, -: V      3 4         \miscarry;
ABORTIUM, ABORTII: N      2 2 N       \abortion; miscarriage;
ABORTIO, ABORTIONIS: N      3 1 F       \abortion, miscarriage; premature delivery; procuring an abortion;
ABORTIVUS, ABORTIVA, ABORTIVUM: ADJ    1 1 POS     \abortive; abortificient; contraceptive; addled; prematurely born;
ABORTIVUS, ABORTIVI: N      2 1 M       \one prematurely born; one addled;
ABORTIVUM, ABORTIVI: N      2 2 N       \abortifacient, that which caused abortion; contraceptive; premature birth;
ABORTIVUM, ABORTIVI: N      2 2 N       \|abortion; miscarriage; means of procuring an abortion;
ABPATRUUS, ABPATRUI: N      2 1 M       \great-great-great uncle (father's side);
ABRA, ABRAE: N      1 1 F       \maid;
ABRADO, ABRADERE, ABRASI, ABRASUS: V      3 1         \scratch/scrape/rub/wipe (off), shave; erase; wash/erode away; 'knock off', rob;
ABRELICTUS, ABRELICTA, ABRELICTUM: ADJ    1 1 POS     \deserted, abandoned;
ABRENUNCIATIO, ABRENUNCIATIONIS: N      3 1 F       \repudiation, renunciation, renouncing;
ABRENUNTIO, ABRENUNTIARE, ABRENUNTIAVI, ABRENUNTIATUS: V      1 1         \renounce, repudiate (strongly);
ABRIPIO, ABRIPERE, ABRIPUI, ABREPTUS: V      3 1         \drag/snatch/carry/remove away by force; wash/blow away (storm); abduct, kidnap;
ABRODO, ABRODERE, ABROSI, ABROSUS: V      3 1         \gnaw off/away;
ABRODIAETUS, ABRODIAETI: N      2 1 M       \living delicately, epithet of the painter Parrhasius;
ABROGO, ABROGARE, ABROGAVI, ABROGATUS: V      1 1         \abolish; repeal wholly, annul; remove, take away;
ABROGATIO, ABROGATIONIS: N      3 1 F       \repeal of a law; disregard, ignore, repudiate; cancel, rescind, revoke (honor);
ABROTONUS, ABROTONI: N      2 1 M       \aromatic plant, southern-wood (medicine);
ABROTONUM, ABROTONI: N      2 2 N       \aromatic plant, southern-wood (medicine);
ABROTONITES, ABROTONITAE: N      1 7 M       \wine prepared with the aromatic plant, southern-wood;
ABRUMPO, ABRUMPERE, ABRUPI, ABRUPTUS: V      3 1         \break (bonds); break off; tear asunder; cut through, sever; remove, separate;
ABRUPTUM, ABRUPTI: N      2 2 N       \steep ascent/decent; rough dangerous ways (pl.);
ABRUPTUS, ABRUPTA -UM, ABRUPTIOR -OR -US, ABRUPTISSIMUS -A -UM: ADJ    1 1 X       \precipitous, steep; hasty; rash; uncompromising, haughty, aloof; abrupt, sudden;
ABRUPTUS, ABRUPTA -UM, ABRUPTIOR -OR -US, ABRUPTISSIMUS -A -UM: ADJ    1 1 X       \|broken, disconnected, abrupt; stubborn;
ABRUPTE: ADV    POS         \abruptly, suddenly; precipitously, steeply; hastily; rashly; here and there;
ABRUPTIO, ABRUPTIONIS: N      3 1 F       \breaking, breaking off; separation, divorce;
ABS: PREP   ABL         \by (agent), from (departure, cause, remote origin (time); after (reference);
ABSUM, ABESSE, ABFUI, ABFUTURUS: V      5 1         \be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
ABSUM, ABESSE, AFUI, AFUTURUS: V      5 1         \be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
ABSUS, ABSI: N      2 1 M       \wad (of wool);
ABSCEDO, ABSCEDERE, ABSCESSI, ABSCESSUS: V      3 1         \withdraw, depart, retire; go/pass off/away; desist; recede (coasts); slough;
ABSCESSUS, ABSCESSUS: N      4 1 M       \going away, departure, withdrawal, absence; remoteness; abscess; death;
ABSCIDO, ABSCIDERE, ABSCIDI, ABSCISUS: V      3 1         \hew/cut off/away/out; fell/cut down; remove, separate/cut off/destroy, divide;
ABSCIDO, ABSCIDERE, ABSCIDI, ABSCISUS: V      3 1         \|take away violently; expel/banish; destroy (hope); amputate; prune; cut short;
ABSCINDO, ABSCINDERE, ABSCIDI, ABSCISSUS: V      3 1         \tear (away/off) (clothing); cut off/away/short; part, break, divide, separate;
ABSCISUS, ABSCISA -UM, ABSCISIOR -OR -US, ABSCISISSIMUS -A -UM: ADJ    1 1 X       \steep, sheer, precipitous; abrupt, curt, brusque; restricted; cut off, severed;
ABSCISE: ADV    POS         \abruptly, brusquely, curtly; shortly, concisely, distinctly;
ABSCISIO, ABSCISIONIS: N      3 1 F       \loss of voice; aposiopesis (rhetoric, breaking off emotionally), interruption;
ABSCISSIO, ABSCISSIONIS: N      3 1 F       \loss of voice; aposiopesis (rhetoric, breaking off emotionally), interruption;
ABSCONDO, ABSCONDERE, ABSCONDI, ABSCONDITUS: V      3 1         \hide, conceal, secrete, 'shelter'; leave behind; bury, engulf, swallow up; keep;
ABSCONDO, ABSCONDERE, ABSCONDIDI, ABSCONDITUS: V      3 1         \hide, conceal, secrete, 'shelter'; leave behind; bury, engulf, swallow up; keep;
ABSCONDEO, ABSCONDERE, ABSCONDUI, ABSCONDITUS: V      2 1         \hide, conceal, secrete, 'shelter'; leave behind; bury, engulf, swallow up; keep;
ABSCONDITUS, ABSCONDITA, ABSCONDITUM: ADJ    1 1 POS     \hidden, secret, concealed; covert, disguised; abstruse, recondite;
ABSCONDITUM, ABSCONDITI: N      2 2 N       \hidden/secret/concealed place/thing; secret;
ABSCONDITE: ADV    POS         \abstrusely; profoundly; secretly;
ABSCONSUS, ABSCONSA, ABSCONSUM: ADJ    1 1 POS     \hidden, secret, concealed, unknown;
ABSCONSE: ADV    POS         \secretly;
ABSCONSIO, ABSCONSIONIS: N      3 1 F       \shelter;
ABSEGMEN, ABSEGMINIS: N      3 2 N       \piece/slice/hunk of meat, collop; morsel, portion, lump, mouthful, gobbet;
ABSENS, (GEN.), ABSENTIS: ADJ    3 1 POS     \absent, missing, away, gone; physically elsewhere (things), non-existent;
ABSENTO, ABSENTARE, ABSENTAVI, ABSENTATUS: V      1 1         \send away, cause one to be absent; to be absent;
ABSENTHIUM, ABSENTHII: N      2 2 N       \wormwood; infusion/tincture of wormwood;
ABSENTIA, ABSENTIAE: N      1 1 F       \absence; absence form Rome/duty; ; non-appearance in court; lack;
ABSENTIO, ABSENTIONIS: N      3 1 F       \holding back, restraining;
ABSENTIVUS, ABSENTIVA, ABSENTIVUM: ADJ    1 1 POS     \long absent;
ABSIDA, ABSIDAE: N      1 1 F       \arc described by a planet; arc, segment of a circle; kind of round vessel/bowl;
ABSIDATUS, ABSIDATA, ABSIDATUM: ADJ    1 1 POS     \vaulted; arched, having an arch/arches;
ABSILIO, ABSILIRE, -, -: V      3 4         \rush/fly away (from); burst/fly apart;
ABSIMILIS, ABSIMILIS, ABSIMILE: ADJ    3 2 POS     \unlike, dissimilar;
ABSINTHIUS, ABSINTHIA, ABSINTHIUM: ADJ    1 1 POS     \containing wormwood (e.g., wine); (often mixed with honey to mask taste);
ABSINTHIUS, ABSINTHII: N      2 1 M       \wormwood; infusion/tincture of wormwood (often mixed with honey to mask taste);
ABSINTHIUM, ABSINTHII: N      2 2 N       \wormwood; infusion/tincture of wormwood;
ABSINTHIUM, ABSINTHI(I): N      2 4 N       \wormwood; infusion/tincture of wormwood (often mixed with honey to mask taste);
ABSINTHITES, ABSINTHITAE: N      1 7 M       \wine flavored with wormwood;
ABSIS, ABSIDIS: N      3 1 F       \arc described by a planet; arc, segment of a circle; kind of round vessel/bowl;
ABSISTUS, ABSISTA, ABSISTUM: ADJ    1 1 POS     \distant, lying away;
ABSISTO, ABSISTERE, ABSISTITI, -: V      3 1         \withdraw from; desist, cease; leave off; depart, go away from; stand back;
ABSIT: INTERJ             \"god forbid", "let it be far from the hearts of the faithful";
ABSOCER, ABSOCERI: N      2 3 M       \great-great grandfather of the husband or wife (in-law);
ABSOLUTUS, ABSOLUTA -UM, ABSOLUTIOR -OR -US, ABSOLUTISSIMUS -A -UM: ADJ    1 1 X       \fluent; fully developed, complete, finished; perfect, pure; unconditional;
ABSOLUTE, ABSOLUTIUS, ABSOLUTISSIME: ADV    X           \completely, absolutely; perfectly; without qualification, simply, unreservedly;
ABSOLUTIO, ABSOLUTIONIS: N      3 1 F       \finishing, completion; acquittal, release (obligat.); perfection; completeness;
ABSOLUTORIUS, ABSOLUTORIA, ABSOLUTORIUM: ADJ    1 1 POS     \favoring/securing acquittal; pertaining to acquittal/release; effecting a cure;
ABSOLUTORIUM, ABSOLUTORII: N      2 2 N       \means of deliverance from;
ABSOLVO, ABSOLVERE, ABSOLVI, ABSOLUTUS: V      3 1         \free (bonds), release; acquit; vote for/secure acquittal; pay off; sum up;
ABSONUS, ABSONA, ABSONUM: ADJ    1 1 POS     \harsh/discordant/inharmonious; jarring; inconsistent; unsuitable, in bad taste;
ABSONO, ABSONARE, ABSONAVI, ABSONATUS: V      1 1         \have a harsh/discordant/unpleasant sound;
ABSONE: ADV    POS         \harshly, discordantly;
ABSORBEO, ABSORBERE, ABSORBUI, ABSORPTUS: V      2 1         \devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;
ABSORBEO, ABSORBERE, ABSORPSI, ABSORPTUS: V      2 1         \devour; overwhelm; swallow up/engulf, submerge; absorb, suck in; import; dry up;
ABSORPTIO, ABSORPTIONIS: N      3 1 F       \drink, beverage; swallowing (Latham);
ABSORTUS, ABSORTA, ABSORTUM: ADJ    1 1 POS     \overwhelmed, swallowed up/engulfed/submerged/absorbed; (= absorptus); engulfing;
ABSORTIO, ABSORTIONIS: N      3 1 F       \victory, overwhelming;
ABSQUE: PREP   ABL         \without, apart from, away from; but for; except for; were it not for; (early);
ABSTO, ABSTARE, ABSTETI, ABSTATUS: V      1 1         \stand at a distance, stand off; keep at a distance;
ABSTANTIA, ABSTANTIAE: N      1 1 F       \distance;
ABSTEMIUS, ABSTEMIA, ABSTEMIUM: ADJ    1 1 POS     \abstemious, abstaining from drink; sober, temperate; moderate; fasting; saving;
ABSTEMIA, ABSTEMIAE: N      1 1 F       \distance;
ABSTERGEO, ABSTERGERE, ABSTERSI, ABSTERSUS: V      2 1         \wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;
